scenario,operation_state,method,total_unserved_energy_kwh,maximum_unserved_power_kw,unserved_points,critical_demand_energy_kwh,critical_unserved_energy_kwh,critical_maximum_unserved_power_kw,critical_served_fraction,essential_demand_energy_kwh,essential_unserved_energy_kwh,essential_maximum_unserved_power_kw,essential_served_fraction,interruptible_demand_energy_kwh,interruptible_unserved_energy_kwh,interruptible_maximum_unserved_power_kw,interruptible_served_fraction
grid_derate_25pct,maintenance,HiGHS-priority-LP,0.0,0.0,0,577.505781611111,0.0,0.0,1.0,165.00165188888892,0.0,0.0,1.0,82.50082594444446,0.0,0.0,1.0
grid_derate_25pct,tripping,HiGHS-priority-LP,68.20542975694444,575.9208749999999,221,4586.814192729166,11.288734895833336,227.33988,0.997538872423974,2116.991165875,44.95671229166667,298.78371,0.9787638640083389,352.83186097916666,11.959982569444447,50.318795,0.9661028838601664
one_generator_unavailable,circulation,proportional-curtailment,460.27240555555557,392.55339999999995,1436,3078.987770444445,322.1906838888889,274.78738,0.895358245011028,879.7107915555557,92.05448111111112,78.51068000000001,0.895358245011028,439.85539577777786,46.02724055555556,39.255340000000004,0.895358245011028
one_generator_unavailable,connection,proportional-curtailment,0.0,0.0,0,1086.3872651666666,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0
one_generator_unavailable,drilling,proportional-curtailment,472.8079395833335,723.6687999999999,1187,25778.767550097222,260.0443667708334,398.01784,0.9899124593033598,14061.145936416664,141.842381875,217.10063999999997,0.9899124593033598,7030.572968208332,70.9211909375,108.55031999999999,0.9899124593033598
one_generator_unavailable,idle,proportional-curtailment,0.0,0.0,0,249.6118389722222,0.0,0.0,1.0,71.3176682777778,0.0,0.0,1.0,35.6588341388889,0.0,0.0,1.0
one_generator_unavailable,maintenance,proportional-curtailment,0.0,0.0,0,577.505781611111,0.0,0.0,1.0,165.00165188888892,0.0,0.0,1.0,82.50082594444446,0.0,0.0,1.0
one_generator_unavailable,tripping,proportional-curtailment,150.20779680555557,815.9125999999999,334,4586.814192729166,97.63506792361112,530.3431899999999,0.9787139692559645,2116.991165875,45.06233904166666,244.77378,0.9787139692559645,352.83186097916666,7.510389840277779,40.79563,0.9787139692559645
one_generator_unavailable,circulation,priority-greedy,460.2724055555556,392.55340000000007,1436,3078.987770444445,74.33059009722218,132.17206,0.9758587576051032,879.7107915555557,226.0404372222222,173.58756000000002,0.7430514216808408,439.85539577777786,159.90137823611113,89.0965,0.6364683035128755
one_generator_unavailable,connection,priority-greedy,0.0,0.0,0,1086.3872651666666,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0
